Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DAYCOVAL S.A.;62232889;DAYCOVAL;51987;81744;b1;2;8;SAO PAULO;SP;03/2020;292.610;7.747.136;3.148.981;16.667.808;-1.205.954;15.461.855;0;0;0;0;0;9.274.354;221.031;1.564.984;37.710.951;0;37.710.951
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE;51066;80491;b1;3;8;SAO PAULO;SP;03/2020;22.825;3.829.791;4.108.020;1.810.194;0;1.810.194;0;0;0;0;0;27.858.305;2.024;34.093;37.665.252;0;37.665.252
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH;51255;80556;b1;3;8;SAO PAULO;SP;03/2020;101.231;13.587.276;14.229.661;519.708;-150;519.558;0;0;0;0;0;7.673.652;229.525;58.726;36.399.628;0;36.399.628
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;80219;b2;3;13;SAO PAULO;SP;03/2020;4.493.751;17.342.339;6.196.852;2.308.980;-156.263;2.152.717;0;0;0;0;0;3.704.646;3.919;2.146.384;36.040.608;0;36.040.608
BANCO MUFG BRASIL S.A.;60498557;;;81713;b1;3;8;SAO PAULO;SP;03/2020;342.498;5.786.569;3.473.074;1.523.404;-1.470;1.521.934;0;0;0;0;0;23.269.108;10.504;35.918;34.439.605;0;34.439.605
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;03/2020;1.873;750.000;2.461.906;23.851.366;-1.590.952;22.260.415;0;0;0;0;0;6.823.484;362.415;1.079.825;33.739.916;0;33.739.916
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;03/2020;5;1.052.923;1.159;27.708.220;-1.276.973;26.431.248;0;0;0;0;0;772.233;40.288;19.391;28.317.246;0;28.317.246
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;80147;b1;1;8;VITORIA;ES;03/2020;264.269;10.290.265;10.462.167;4.139.073;-275.535;3.863.538;0;9.552;5.814;-19;15.347;939.025;912.696;316.348;27.063.655;5.814;27.057.841
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;;;80185;n4;3;41;SAO PAULO;SP;03/2020;85.313;0;1.892.568;0;0;0;0;0;0;0;0;995.302;23.151.291;801.009;26.925.483;0;26.925.483
BANCO MORGAN STANLEY S.A.;2801938;MORGAN STANLEY;51413;80628;b1;3;8;SAO PAULO;SP;03/2020;330.451;5.196.390;17.641.962;0;0;0;0;0;0;0;0;3.492.200;16;114.772;26.775.790;0;26.775.790
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2020;101;9.392.233;299.445;503.241;-285.923;217.318;0;0;0;0;0;3.129.772;9.808;12.673.514;25.722.191;0;25.722.191
BANCO BANDEPE S.A.;10866788;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;03/2020;0;76.835;23.686.560;0;0;0;0;0;0;0;0;351.080;28;1.243.866;25.358.369;0;25.358.369
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;03/2020;0;2.420.164;5.703.923;16.344.926;-743.208;15.601.719;60;15.941;14.901;-156;30.747;455.710;36.430;41.425;24.290.117;14.901;24.275.216
BANCO VOLKSWAGEN S.A.;59109165;;;80202;b2;3;8;SAO PAULO;SP;03/2020;3.205;3.196.603;83.113;17.852.451;-845.497;17.006.954;525;134.273;22.572;-3.088;154.282;2.648.456;29.467;670.349;23.792.429;22.572;23.769.857
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS;51585;80714;b2;3;8;SAO PAULO;SP;03/2020;170.657;3.501.360;13.980.509;35.199;0;35.199;0;0;0;0;0;4.126.587;1.254;327.717;22.143.283;0;22.143.283
BANCO BMG S.A.;61186680;BMG;30290;80178;b1;2;8;SAO PAULO;SP;03/2020;97.679;378.737;2.946.586;10.601.028;-550.721;10.050.307;0;0;0;0;0;3.965.533;221.988;4.309.205;21.970.035;0;21.970.035
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;SOCIETE GENERALE;31859;80264;b1;3;8;SAO PAULO;SP;03/2020;71.284;4.296.179;1.228.402;756.805;-1.113;755.692;0;0;0;0;0;15.262.269;1.823;137.420;21.753.070;0;21.753.070
BANCO DA AMAZONIA S.A.;4902979;;;81249;b1;1;2;BELEM;PA;03/2020;79.222;1.707.437;13.200.886;3.499.841;-380.743;3.119.097;0;0;0;0;0;1.823.798;336.554;262.085;20.529.080;0;20.529.080
NU PAGAMENTOS S.A.;18236120;;;84693;n4;2;41;SAO PAULO;SP;03/2020;138.992;2.151.244;5.082.000;0;0;0;0;0;0;0;0;11.799.178;45.954;326.596;19.543.963;0;19.543.963
STONE PAGAMENTOS S.A.;16501555;;;84686;n4;2;41;SAO PAULO;SP;03/2020;21.484;0;3.183.937;0;0;0;0;0;0;0;0;447.663;12.047.808;3.074.949;18.775.840;0;18.775.840
BRB - BANCO DE BRASILIA S.A.;208;BRB;31976;80288;b1;1;8;BRASILIA;DF;03/2020;148.266;1.290.909;3.454.510;9.935.299;-300.959;9.634.340;0;0;0;0;0;1.402.443;757.709;866.285;17.554.464;0;17.554.464
